,Name,Latitude,Longitude,Rating,number of reviews,affluence
0,Treat-me,25.7394413,89.252465,৪.১,১২৬টি রিভিউ,
1,,25.7394413,89.252465,,,
2,কফি হাউজ,25.7602477,89.2230365,৩.৯,১৯৫টি রিভিউ,
3,,25.7394413,89.252465,,,
4,কয়লা ক্যাফে,25.7394413,89.252465,৪.,১৫৭টি রিভিউ,
5,,25.7394413,89.252465,,,
6,নেহাল হোটেল এন্ড রেস্টুরেন্ট,25.7288598,89.2731548,৪.৫,২টি রিভিউ,
7,,25.7394413,89.252465,,,
8,ভাই ভাই স্টোর,24.6886771,88.4098744,৫.,১টি রিভিউ,
9,,24.6886771,88.4098744,,,
10,"তার্কা, ঢাকা",+%E0%A6%A2%E0%A6%BE%E0%A6%95%E0%A6%BE/23.8036501,90.3176623,৪.,"১,৬৬৪টি রিভিউ",৳৳
11,,23.8036501,90.3176623,,,
12,Chef Urbana Restaurant,24.3035776,89.9979973,৪.৩,৪০টি রিভিউ,
13,,24.3035776,89.9979973,,,
14,Meat Theory,23.7968764,90.3195755,৪.৪,৪২৮টি রিভিউ,
15,,23.7968764,90.3195755,,,
16,Farzi Café Dhaka,23.781192,90.2767925,৪.১,২০৭টি রিভিউ,
17,,23.9071775,90.1491664,,,
18,ফোর সিজন্স রেস্টুরেন্ট,23.9810884,89.2368975,৪.,"২,৯৩১টি রিভিউ",৳৳
19,,23.9810884,89.2368975,,,
20,Park Town Chinese Restaurant,23.7642381,89.2629397,৫.,২টি রিভিউ,
21,,24.7185715,88.6004655,,,
22,রন্ধনবাড়ী হোটেল এন্ড রেস্টুরেন্ট,23.7922092,89.2447455,৩.৮,৮৭টি রিভিউ,৳
23,,24.7045151,88.4105918,,,
24,দিল্লি দরবার,23.4922246,89.9566493,৩.৮,৭৭১টি রিভিউ,৳৳
25,,23.4922246,89.9566493,,,
26,নিজাম রেষ্টুরেন্ট,23.7698172,90.3274413,৩.৩,৯টি রিভিউ,
27,,23.7698172,90.3274413,,,
28,আইরন-শেফ,23.5396175,89.1589938,৩.৭,৩টি রিভিউ,
29,,23.5396175,89.1589938,,,
30,md israfil,22.6214073,90.0303106,,,
31,,22.6214073,90.0303106,,,
32,Chicken Bites,23.9178485,88.7830977,৪.,১৭টি রিভিউ,
33,,23.9178485,88.7830977,,,
34,,23.712272,90.3478172,,,
35,,23.712272,90.3478172,,,
36,,23.5219674,89.9960833,,,
37,,23.5219674,89.9960833,,,
38,,23.5434317,89.4597609,,,
39,,23.5434317,89.4597609,,,
40,,24.672396,87.2406656,,,
41,,24.672396,87.2406656,,,
42,,24.672396,87.2406656,,,
